Experience,True Positives,True Negatives,False Positives,False Negatives,Score,Accuracy,Wrong Answers
Cybersecurity student,30,23,27,20,53 / 100,53,47
Cybersecurity student,12,28,22,38,40 / 100,40,60
Cybersecurity analyst,21,35,15,29,56 / 100,56,44
Cybersecurity analyst,22,31,19,28,53 / 100,53,47
Cybersecurity student,24,28,22,26,52 / 100,52,48
Cybersecurity student,18,30,20,32,48 / 100,48,52
Cybersecurity student,12,37,13,38,49 / 100,49,51
Cybersecurity analyst,20,28,22,30,48 / 100,48,52
Cybersecurity analyst,29,23,27,21,52 / 100,52,48
Cybersecurity analyst,28,26,24,22,54 / 100,54,46
Cybersecurity student,26,19,31,24,45 / 100,45,55
Cybersecurity analyst,17,32,18,33,49 / 100,49,51
Cybersecurity student,21,22,28,29,43 / 100,43,57
Cybersecurity analyst,14,33,17,36,47 / 100,47,53
Cybersecurity analyst,21,14,36,29,35 / 100,35,65
Cybersecurity student,12,35,15,38,47 / 100,47,53
Cybersecurity student,28,33,17,22,61 / 100,61,39
Cybersecurity analyst,20,28,22,30,48 / 100,48,52
Cybersecurity student,25,29,21,25,54 / 100,54,46
Cybersecurity analyst,22,32,18,28,54 / 100,54,46
